broadCategory,courseLanguage,courseLink,courseRating,courseTitle,instructorLink,instructorRating,instructorTotalCourse,lastUpdated,subcategory,subcategory1,subtitle,unitSold,
Office Productivity,English,https://www.udemy.com/course/power-bi-master-class-consume-and-transform-data/,4.6,Power BI Master Class - Query Editor [2021 Edition],https://www.udemy.com/user/ianlittlejohn2/,4.6,17,6/2021,Microsoft,Microsoft Power BI,"Learn how to import, transform and prepare data using the Query Editor in Microsoft Power BI",6915,
Office Productivity,English,https://www.udemy.com/course/sap-business-objects-web-intelligence/,3.9,SAP BI /SAP Business Objects Web Intelligence,https://www.udemy.com/user/54834d543c56c/,4.4,3,5/2021,SAP,Business Intelligence,SAP BO 4.1 Web Intelligence course gives you the comprehensive reporting knowledge and real-project perspective !,3656,
Office Productivity,English,https://www.udemy.com/course/microsoft-powerpoint-in-2-hours-time-to-boost-your-career/,4.4,Microsoft PowerPoint in 1 Hour : Introduction to PowerPoint,https://www.udemy.com/user/365careers/,4.6,76,10/2019,Microsoft,PowerPoint,Start Using Microsoft PowerPoint with Confidence - Your Shortcut For Career Success,12044,
Office Productivity,English,https://www.udemy.com/course/excel-2016-foundation-training-video-tutorials/,4.4,Excel 2016 Foundation Training Course | Video Tutorial,https://www.udemy.com/user/55507604a21d3/,4.4,10,7/2016,Microsoft,Excel,Learn the Excel 2016 Basics,20127,
Apple,English,https://www.udemy.com/course/apple-mac-os-the-complete-course/,4.4,Apple Mac Basics - The Complete Course for beginners,https://www.udemy.com/user/colinmarks/,4.5,9,9/2021,Mac Basics,Mac Basics,The beginner guide to Apple Mac OS. Get the most out of your New Apple Mac.,3243,
Microsoft,English,https://www.udemy.com/course/data-analysis-with-excel-pivot-tables/,4.6,Microsoft Excel - Data Analysis with Excel Pivot Tables,https://www.udemy.com/user/maven-analytics/,4.6,6,1/2021,Excel,Excel,Master Excel pivots & learn data analysis w/ advanced Excel cases from a top Excel & business intelligence instructor,146398,
Google,English,https://www.udemy.com/course/your-gmail-productivity-unleashed-destroy-gmail-timewasters/,4.5,Gmail Complete Course (2020 Edition),https://www.udemy.com/user/andrewex/,4.5,7,11/2020,Gmail Productivity,Gmail Productivity,"Boost your Productivity with 25+ Gmail Techniques like Gmail Filters , Security , IFTTT . Master Email Communication",6402,
Office Productivity,English,https://www.udemy.com/course/sap-basis-erp/,4.4,SAP Basis Essential Training,https://www.udemy.com/user/george-boyle-9/,4.3,3,1/2021,SAP,SAP Basis,"Everything you need to know about SAP Basis. System admin, configuration, security, monitor: Everything is included!",71817,
Office Productivity,English,https://www.udemy.com/course/gmail-productivity/,4.2,Gmail Productivity Ultimate Course 2021,https://www.udemy.com/user/josh-werner/,4,69,8/2021,Google,Gmail Productivity,Everything you need to know about Gmail in 2021,88741,
Office Productivity,English,https://www.udemy.com/course/excel-2013/,4.6,Excel 2013,https://www.udemy.com/user/learnitanytime/,4.5,22,8/2020,Microsoft,Excel,Online Excel training is designed to create a strong foundation for using the world's most popular business software.,2234,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-for-mac/,4.2,Microsoft Excel for Mac - From Beginner to Expert in 7 Hours,https://www.udemy.com/user/toddmcleod/,4.5,20,9/2021,Microsoft,Excel,This Microsoft Excel class will make you a master of Microsoft Excel. The training uses Excel 2011 for an Apple Mac.,11817,
Office Productivity,English,https://www.udemy.com/course/learn-microsoft-excel-2016-intermediate-training-course/,4.2,Learn Excel 2016 Intermediate Level - Beyond the Basics,https://www.udemy.com/user/simonsezit/,4.5,174,2/2021,Microsoft,Excel,"If you already know the basics of Excel, this intermediate level course will help you become an Excel power user",16522,
Office Productivity,English,https://www.udemy.com/course/microsoft-access-2016-access-from-beginner-to-advanced/,4.6,Master Microsoft Access - Access from Beginner to Advanced,https://www.udemy.com/user/kirt-kershaw/,4.5,15,4/2021,Microsoft,Microsoft Access,"Develop dynamic Access databases fast in this easy to learn Microsoft Access Course (2010, 2013, 2016, 2019 & 365)",4673,
Office Productivity,English,https://www.udemy.com/course/plsql-interview-questions/,4.4,200+ PL/SQL Interview Questions,https://www.udemy.com/user/amarnathrpanyam/,4.4,9,2/2017,Oracle,Pl/SQL,Prepare for an PL/SQL Developer Interview with these 200+ Real World PL/SQL Questions and Practical Answers,3168,
SAP,English,https://www.udemy.com/course/sap-logistic-execution-r3/,4.3,SAP Logistic Execution,https://www.udemy.com/user/abdulmaulud/,4.4,17,5/2021,na,SAP,A SAP Deepdive into the Logistic Execution,3869,
Office Productivity,English,https://www.udemy.com/course/mastering-microsoft-exchange-server-2013/,4.8,Mastering Microsoft Exchange Server 2013,https://www.udemy.com/user/infiniteskills/,4.3,323,1/2017,Microsoft,Microsoft Exchange Server,"Learn how to setup, manage and secure a Microsoft Exchange Server. A definitive guide to working with MS Exchange Server",3318,
Office Productivity,English,https://www.udemy.com/course/learn-gsuite/,4.5,"Complete Google Workspace (G Suite), Beginner - Advanced",https://www.udemy.com/user/lars51/,4.5,3,7/2021,Google,Google Workspace (G Suite),"Google Workspace (G Suite) Google Docs, Google Sheets, Google Slides, Google Calendar, Google Drive, Gmail, Google Forms",5318,
Office Productivity,English,https://www.udemy.com/course/microsoft-office-essential-skills/,4.5,Microsoft Office Essential Skills,https://www.udemy.com/user/davidmillard/,4.5,2,8/2020,Microsoft,Microsoft Office 365,Learn the essential Microsoft Office skills employers want from a Microsoft Certified Trainer!,3775,
Office Productivity,English,https://www.udemy.com/course/the-complete-power-bi-practical-course/,4.2,The Complete Power BI Practical Course 2021,https://www.udemy.com/user/365careers/,4.6,76,2/2021,Other Office Productivity,Microsoft Power BI,Power BI: Jump start your career as Power BI developer,4993,
Office Productivity,English,https://www.udemy.com/course/dontgetmadgetskills-excel-shortcuts/,4.6,"Excel Shortcuts, Excel Tips, Excel Tricks - Excel Skills!",https://www.udemy.com/user/billywigley/,4.6,3,9/2021,Microsoft,Excel,"Use simple Excel shortcuts to Excel at work, impress your boss, and Excel your income. Macros, Formulas, PivotTable Tips",24888,
Office Productivity,English,https://www.udemy.com/course/sap-materials-management-mm-super-user-training/,4.2,SAP Materials Management (MM) Super User Training,https://www.udemy.com/user/sadim-rasheed-3/,4.2,5,12/2016,SAP,SAP MM,Complete Beginner and Intermediate Purchasing & Inventory Management Training - Perform all the task in SAP in no time,2115,
Other Office Productivity,English,https://www.udemy.com/course/scrivener-for-windows/,4.4,Scrivener For Windows - A Quick And Easy Guide,https://www.udemy.com/user/davidleemartin/,4.4,10,10/2016,Scrivener,Scrivener,"The Quickest, Easiest Way To Learn Scrivener For Windows - Guaranteed!",2518,
Office Productivity,English,https://www.udemy.com/course/outlook-2016-advanced/,4.7,Outlook 2016 Advanced,https://www.udemy.com/user/intellezy/,4.4,219,4/2018,Microsoft,Microsoft Outlook,"In this course, students will expand upon their existing knowledge and learn and use advanced features.",2352,
Office Productivity,English,https://www.udemy.com/course/visio-2013-like-a-boss/,4.6,Microsoft Visio 13/16/19 Like a Boss - The Definitive Course,https://www.udemy.com/user/brianculp2/,4.5,10,1/2021,Microsoft,Microsoft Visio,100+ lessons. Always up to date. Boost your career by learning Microsoft Visio QUICKLY. FREE keyboard shortcuts guide.,19162,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-2016-beginner-level-course-by-hudsoncourses/,4,Microsoft Excel 2016 Beginner Level Course,https://www.udemy.com/user/hudson-9/,4,1,2/2017,Microsoft,Excel,Learn how to use Microsoft Excel 2016 from a beginner level and up with confidence,9896,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-basic-excel-advanced-excel-formulas/,4.4,Microsoft Excel -Basic Excel/ Advanced Excel Formulas,https://www.udemy.com/user/ataouyl-yassin/,4.2,21,7/2020,Microsoft,Excel,Learn more than 80+ Excel function/Excel formulas/Excel tips for Excel 2007 to Excel 2019 with Excel examples,148151,
Microsoft,English,https://www.udemy.com/course/excel-tutorial/,4.6,Microsoft Excel 2010 Course Beginners/ Intermediate Training,https://www.udemy.com/user/infiniteskills/,4.3,323,1/2017,Excel,Excel,Learn to Invoke the Power of Microsoft Excel in easy to follow stages,69229,
Microsoft,English,https://www.udemy.com/course/master-excel-power-query/,4.8,Master Excel Power Query Beginner to Advanced (including M),https://www.udemy.com/user/leila-gharani/,4.7,9,9/2021,Power Query,Power Query,Use Excel Power Query like an Expert from the Start! Solve Difficult Data Analysis Problems // 200+ workbooks included,21950,
Office Productivity,English,https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/,4.7,Microsoft Excel: Business Intelligence w/ Power Query & DAX,https://www.udemy.com/user/maven-analytics/,4.6,6,1/2021,Microsoft,Power Pivot,"Learn advanced Excel for data analysis & business intelligence (Power Query, Power Pivot & DAX language. Excel 2013+)",69507,
Office Productivity,English,https://www.udemy.com/course/learn-google-drive-from-beginner-to-advanced/,4.3,Google Drive Ultimate Course 2021,https://www.udemy.com/user/josh-werner/,4,69,8/2021,Google,Google Drive,Everything you need to know about Google Drive Productivity from Beginner to Advanced Master Google Drive Today!,115244,
Office Productivity,English,https://www.udemy.com/course/how-to-use-microsoft-excel-beginning-to-advanced-tutorials/,4.5,EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,https://www.udemy.com/user/stevemcdonald2/,4.6,21,2/2020,Microsoft,Excel,"Boost your Excel skills - Boost your career. Master Microsoft Excel worksheets, functions, & more. Excel 2016-2019 & 365",59735,
